source,condition,condition_label,direction_group,layer,sae_latents,signal_scale,public_sae_id,mean_allocation,median_allocation,min_allocation,max_allocation,frac_above_03,n
internal,delta,Your paired delta,weak,10,512.0,0.05,,0.9527043259143829,0.9603019237518311,0.8840934276580811,0.988414466381073,1.0,30
internal,delta,Your paired delta,weak,10,2048.0,0.05,,0.5352465846141179,0.5341384530067443,0.43143182396888735,0.6751787662506104,1.0,30
internal,rand_pair,Your random-pair,weak,10,512.0,0.05,,0.17697585076093672,0.17868170738220213,0.12600413560867305,0.2590594232082367,0.0,30
internal,rand_pair,Your random-pair,weak,10,2048.0,0.05,,0.16073908209800716,0.15829887390136715,0.1306575924158096,0.20586230754852292,0.0,30
internal,std_L1,Your L1 mixed,weak,10,512.0,0.05,,0.16887412031491594,0.16693962812423702,0.13055317699909205,0.2210905909538269,0.0,30
internal,std_L1,Your L1 mixed,weak,10,2048.0,0.05,,0.1543746287624041,0.15213448107242583,0.1232686340808868,0.19264056682586667,0.0,30
internal,topK20,Your TopK mixed,weak,10,512.0,0.05,,0.1689647643268108,0.1674320265650749,0.12551388293504712,0.21460744440555574,0.0,30
internal,topK20,Your TopK mixed,weak,10,2048.0,0.05,,0.18422304441531495,0.1800841093063354,0.1332403272390365,0.2896400153636932,0.0,30
public_sae,public_sae,Public JB SAE,weak,10,,,blocks.11.hook_resid_pre,0.36506105959415436,0.33288349211215973,0.2674401104450226,0.5553686022758484,0.8,10
